,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 Month),Market Cap,PE Ratio (TTM)
0,TSLA,"Tesla, Inc.",191.81,+1.40,+0.74%,120.371M,180.166M,606.906B,53.28
1,FRC,First Republic Bank,13.82,+1.46,+11.81%,115.61M,25.75M,2.574B,1.81
2,BAC,Bank of America Corporation,28.49,+1.35,+4.97%,101.35M,53.586M,227.899B,8.88
3,CCL,Carnival Corporation & plc,8.79,-0.44,-4.77%,92.788M,39.006M,11.424B,N/A
4,AMD,"Advanced Micro Devices, Inc.",96.61,-1.34,-1.37%,56.778M,61.897M,155.676B,115.01
5,F,Ford Motor Company,11.52,+0.01,+0.09%,54.278M,69.353M,45.921B,N/A
6,CS,Credit Suisse Group AG,0.8635,+0.0023,+0.27%,44.406M,46.924M,3.403B,N/A
7,AMZN,"Amazon.com, Inc.",98.04,-0.09,-0.09%,46.632M,69.448M,1.005T,N/A
8,AAPL,Apple Inc.,158.28,-1.97,-1.23%,52.264M,70.686M,2.504T,26.60
9,SGFY,"Signify Health, Inc.",30.47,+1.66,+5.76%,38.266M,1.687M,8.928B,70.86
10,NVDA,NVIDIA Corporation,265.31,-2.48,-0.93%,36.031M,50.361M,661.153B,112.90
11,INTC,Intel Corporation,29.18,-0.18,-0.61%,34.727M,45.255M,120.718B,14.89
12,ITUB,Itaú Unibanco Holding S.A.,4.5200,+0.1500,+3.43%,32.899M,32.747M,44.182B,7.79
13,SQ,"Block, Inc.",64.40,+3.72,+6.13%,31.561M,15.195M,38.77B,N/A
14,C,Citigroup Inc.,44.78,+1.67,+3.87%,22.496M,20.2M,87.162B,6.35
15,SWN,Southwestern Energy Company,4.8500,0.0000,0.00%,28.727M,26.288M,5.335B,2.92
16,MSFT,Microsoft Corporation,276.38,-4.19,-1.49%,26.772M,32.613M,2.057T,30.40
17,KEY,KeyCorp,12.49,+0.63,+5.31%,26.654M,19.488M,11.551B,6.18
18,GOOGL,Alphabet Inc.,102.46,-2.98,-2.83%,29.606M,39.838M,1.316T,22.03
19,SNAP,Snap Inc.,11.74,+0.18,+1.56%,25.398M,33.118M,18.565B,N/A
20,GOOG,Alphabet Inc.,103.06,-3.00,-2.83%,25.363M,32.196M,1.316T,22.26
21,HBAN,Huntington Bancshares Incorporated,11.11,+0.34,+3.11%,24.791M,19.779M,16.113B,7.61
22,SOFI,"SoFi Technologies, Inc.",5.76,+0.02,+0.35%,24.036M,38.663M,4.606B,N/A
23,SCHW,The Charles Schwab Corporation,54.86,+1.60,+3.00%,24.111M,20.097M,100.335B,15.54
24,COIN,"Coinbase Global, Inc.",62.54,-5.29,-7.80%,23.469M,20.143M,16.379B,6.40
25,WFC,Wells Fargo & Company,37.47,+1.24,+3.42%,22.923M,22.677M,141.528B,12.05
26,PBR,Petróleo Brasileiro S.A. - Petrobras,9.98,+0.28,+2.89%,21.903M,23.89M,65.091B,1.79
27,SIRI,Sirius XM Holdings Inc.,3.7500,-0.0200,-0.53%,21.097M,17.025M,14.589B,11.72
28,T,AT&T Inc.,18.87,+0.26,+1.40%,20.634M,32.655M,134.541B,N/A
29,NIO,NIO Inc.,8.93,-0.14,-1.54%,20.338M,45.641M,15.317B,N/A
